TextU1;U1x;U1y;TextU2;U2x;U2y;TextU3;U3x;U3y;TextU4;U4x;U4y;TextU6;U6x;U6y
Oberlaa;612;746;Seestadt;1007;343;Simmering;727;600;Hütteldorf;170;503;Siebenhirten;223;749
Neulaa;595;730;Aspern Nord;991;295;Enkplatz;728;554;Ober St Veit;191;503;Perfektastraße;245;727
Alaudagasse;580;715;Hausfeldstraße;954;303;Zippererstr;728;522;Unter St Veit;222;503;Erlaaer Straße;265;704
Altes Landgut;566;700;Aspernstraße;934;322;Gasometer;714;499;Braunschweiggasse;249;503;Alterlaa;288;682
Troststraße;549;683;Donauspital;906;343;Erdberg;699;484;Hietzing;275;503;Am Schöpfwerk;309;659
Reumannplatz;532;667;Hardeggasse;878;343;Schlachthausgasse;682;468;Schönbrunn;301;503;Tscherttgasse;332;637
Keplerplatz;524;642;Stadlau;852;358;Kardinal Nagl Platz;668;454;Meidling HS;328;503;Meidling;356;600
Südtiroler Platz;524;600;Donaustadtbrücke;827;383;Rochusgasse;654;441;Längenfeldstraße;357;503;Niederhofstraße;356;543
Taubstummengasse;524;548;Donaumarina;789;422;Landstraße;632;419;Margaretengürtel;393;503;Längenfeldgasse;356;496
Karlsplatz;524;481;Stadion;740;389;Stubentor;563;418;Pilgramgasse;434;503;Gumpendorfer Straße;356;462
Stephansplatz;524;406;Krieau;704;353;Stephansplatz;538;418;Kettenbrückengasse;474;503;Westbahnhof;356;427
Schwedenplatz;580;344;Messe-Prater;666;315;Herrengasse;490;418;Karlsplatz;525;503;Burggasse-Stadthalle;356;371
Nestroyplatz;602;328;Praterstern;624;311;Volkstheater;457;418;Stadtpark;583;481;Thaliastraße;356;345
Praterstern;624;296;Taborstraße;580;307;Neubaugasse;415;418;Landstraße;598;419;Josefstädter Straße;356;316
Vorgartenstraße;649;281;Schottenring;533;317;Zieglergasse;388;418;Schwedenplatz;580;358;Alser Straße;368;287
Donauinsel;674;256;Schottentor;487;347;Westbahnhof;357;426;Schottenring;533;304;Michelbeuern-AKH;387;268
Kaisermühlen;693;236;;;;Schweglerstraße;334;396;Roßauerlände;502;273;Währinger Straße-Volksoper;406;247
Alte Donau;711;218;;;;Johnstraße;314;377;Friedensbrücke;474;245;Nussdorfer Straße;428;226
Kagran;730;199;;;;Hütteldorfer Straße;294;357;Spittelau;455;209;Spittelau;445;208
Kagraner Platz;748;181;;;;Kendlerstraße;274;337;Heiligenstadt;454;161;Jägerstraße;488;208
Rennbahnweg;767;163;;;;Ottakring;253;316;;;;Dresdner Straße;504;207
Aderklaaer Straße;786;145;;;;;;;;;;Handelskai;535;182
Großfeldsiedlung;803;125;;;;;;;;;;Neue Donau;580;134
Leopoldau;828;101;;;;;;;;;;Floridsdorf;594;124
